"Time","Staff Energy","Tasks Completed","Base Workload","Sleep"
"0","100","0","10","8"
"1","58","2.5","10","8"
"2","137","5","10","8"
"3","95","7.5","10","8"
"4","153","10","10","8"
"5","111","12.5","10","8"
"6","69","15","10","8"
"7","148","17.5","10","8"
"8","106","20","10","8"
"9","64","22.5","10","8"
"10","143","25","10","8"
"11","101","27.5","10","8"
"12","59","30","10","8"
"13","138","32.5","10","8"
"14","96","35","10","8"
"15","154","37.5","10","8"
"16","112","40","10","8"
"17","70","42.5","10","8"
"18","149","45","10","8"
"19","107","47.5","10","8"
"20","65","50","10","8"
"21","144","52.5","10","8"
"22","102","55","10","8"
"23","60","57.5","10","8"
"24","139","60","10","8"
"25","97","62.5","10","8"
"26","155","65","10","8"
"27","113","67.5","10","8"
"28","71","70","10","8"
"29","150","72.5","10","8"
"30","108","75","10","8"
