"Time","Staff Energy","Tasks Completed","Working Hours","Sleep"
"0","100","0","8","8"
"1","66.4","1.801875","8","8"
"2","66.4","2.7028125","8","8"
"3","66.4","3.60375","8","8"
"4","66.4","4.5046875","8","8"
"5","66.4","5.405625","8","8"
"6","66.4","6.3065625","8","8"
"7","66.4","7.2075","8","8"
"8","66.4","8.1084375","8","8"
"9","66.4","9.009375","8","8"
"10","66.4","9.9103125","8","8"
"11","66.4","10.81125","8","8"
"12","66.4","11.7121875","8","8"
"13","66.4","12.613125","8","8"
"14","66.4","13.5140625","8","8"
"15","66.4","14.415","8","8"
"16","66.4","15.3159375","8","8"
"17","66.4","16.216875","8","8"
"18","66.4","17.1178125","8","8"
"19","66.4","18.01875","8","8"
"20","66.4","18.9196875","8","8"
"21","66.4","19.820625","8","8"
"22","66.4","20.7215625","8","8"
"23","66.4","21.6225","8","8"
"24","66.4","22.5234375","8","8"
"25","66.4","23.424375","8","8"
"26","66.4","24.3253125","8","8"
"27","66.4","25.22625","8","8"
"28","66.4","26.1271875","8","8"
"29","66.4","27.028125","8","8"
"30","66.4","27.9290625","8","8"
